tags: darakwon 12-과

[sound:계절.mp3]	계절<p class="small">(봄 &lt; 여름 &lt; 가을 &lt; 겨울)</p>	saison<p class="small">(printemps &lt; été &lt; automne &lt; hiver)</p>
[sound:민정_씨도_여름_방학에_프랑스를_구경할래요.mp3]	<ul><li>민정 씨도 여름 방학에 프랑스를 구경할래요?</li><li>네, 좋아요.</li></ul>	<ul><li>Min-jeong, voulez-vous aussi visiter la France pendant les vacances d'été ?</li><li>Oui, d'accord.</li></ul>
[sound:모르간_씨_내일_극장에_같이_갈래요.mp3]	<ul><li>모르간 씨, 내일 극장에 같이 갈래요?</li><li>아니요, 내일은 바빠요.</li></ul>	<ul><li>Morgane, voudrais-tu aller ensemble au cinéma demain ?</li><li>Non, demain je suis occupée.</li></ul>


[sound:고_싶다.mp3]	-고 싶다<hr/>-고 싶어하다<p class="small">(3<sup>ème</sup> personne)</p>	avoir envie de / vouloir<p class="small">(désidératif)</p><ul><li>le <span class="em">désidératif</span> exprime le désir ou l'espoir du sujet</li><li>il s'emploie avec des verbes d'action uniquement</li><li>il se place après la voyelle ou la consonne du radical verbal (동사 어간)</li></ul>
[sound:저도_프랑스를_여행하고_싶어요.mp3]	<ul>저도 프랑스를 여행하고 싶어요.</ul>	<ul>Moi aussi j'ai envie de voyager en France.</ul>
[sound:빨리_한국에_가고_싶어요.mp3]	<ul>빨리 한국에 가고 싶어요.</ul>	<ul>Je voudrais bientôt aller en Corée.</ul>
[sound:레오는_산책하고_싶어해요.mp3]	<ul>레오는 산책하고 싶어해요.</ul>	<ul>Léo veut se promener.</ul>


[sound:에게_한테_께.mp3]	-에게/-한테<hr/>-에게서/-한테서	particule du complément d'objet indirect<p class="small">(datif)</p><ul class="small"><li>-에게 est plutôt de style écrit et -한테 de style oral</li><li>les particules -에게서 et -한테서 marquent quant à elles la provenance de l'action</li></ul>
[sound:줄리엥은_민정_씨에게_이메일을_써요.mp3]	<ul>줄리엥은 민정 씨<span class="em">에게</span> 이메일을 써요.<hr/>줄리엥은 민정 씨<span class="em">한테</span> 이메일을 써요.</ul>	<ul>Julien écrit un email à Min-jeong.</ul>
[sound:상준에게서_생일_선물을_받았어요.mp3]	<ul>상준<span class="em">에게서</span> 생일 선물을 받았어요.<hr/>상준<span class="em">한테서</span> 생일 선물을 받았어요.</ul>	<ul>J'ai reçu un cadeau d'anniversaire de Sang-joon.</ul>



[sound:반말.mp3]	반말	registre familier<p class="small">(반: moitié, 말: discours ; angl. “crude language speech level”)</p><ul class="small"><li>Désigne divers formes tronquées de language (comme le registre informel non poli 해체) où particules et suffixes tombent, notamment les suffixes reflétant les différences sociales.</li></ul>

[sound:해체.mp3]	해체<div class="활용"><div class="현재"><div class="하십시오체">하십시오체</div><div class="해요체">해요체</div><div class="해체">해체</div></div></div>	registre informel non poli<p class="small">(해: impératif informel non poli de 하다, faire ; angl. “informal non-polite speech level”)</p><ul class="small"><li>Ce niveau de langue est caractérisé par des formes verbales courtes, souvent réduites au seul radical.</li></ul>

[sound:해요체.mp3]	해요체<div class="활용"><div class="현재"><div class="하십시오체">하십시오체</div><div class="해요체">해요체</div><div class="해체">해체</div></div></div>	registre informel poli<p class="small">(해요: impératif informel poli de 하다, faire ; angl. “informal polite speech level”)</p><ul class="small"><li>Ce niveau de langue est caractérisé par la terminaison <span class="em">—요</span>.</li></ul>

[sound:하십시오체.mp3]	하십시오체<div class="활용"><div class="현재"><div class="하십시오체">하십시오체</div><div class="해요체">해요체</div><div class="해체">해체</div></div></div>	registre formel poli<p class="small">(하십시오: impératif formel poli de 하다, faire ; angl. “formal polite speech level”)</p><ul class="small"><li>À l'indicatif (<span class="em">직설법</span>), ce niveau de langue est caractérisé par la terminaison <span class="em">—ᆸ니다</span>.</li><li>À l'impératif (<span class="em">명령법</span>), il est toujours associé à l'honorifique —시— et se caractérise par la terminaison <span class="em">—십시오</span>.</li></ul>

[sound:직설법.mp3]	직설법<div class="활용"><div class="현재"><div class="하십시오체">(스)ㅂ니다</div><div class="해요체">ㅗ,ㅏ + 아요<br>_ + 어요</div></div><div class="과거"><div class="하십시오체">ㅗ,ㅏ + 았습니다<br>_ + 었습니다</div><div class="해요체">ㅗ,ㅏ + 았어요<br>_ + 었어요</div></div><div class="미래"><div class="하십시오체">(으)ㄹ 겁니다</div><div class="해요체">(으)ㄹ 거예요</div></div></div><div class="fr">1) Pour les radicaux se terminant par la consonne ㄹ (ex. : 살다, 알다, 불다)&nbsp;:<ul><li>la consonne ㄹ apparaissant à la fin du radical disparaît devant les consonnes ㄴ, ㅂ, ㅅ</li><li>au futur, on ajoute simplement 거예요 / 겁니다</li></ul>2) Pour les radicaux se terminant par la voyelle ㅡ (ex. : 바쁘다, 배고프다, 크다, 쓰다, 예쁘다)&nbsp;:<ul><li>la voyelle ㅡ apparaissant à la fin du radical tombe devant une autre voyelle ; c'est la voyelle précédant ㅡ qui régit le choix entre 아요 et 어요</li></ul></div>	mode indicatif<p class="small">(활용: conjugaison ; 법: mode ; angl. “indicative mood”)</p>


